Unnamed: 0,Comment,Language,Sentiment
0,curve grade hehehehe,en,1
1,master lesson perfectly,en,1
2,terror but teach well,en,1
3,unenthusiastic barely understand teach,en,-1
4,not applicable,en,0
5,favoritism student,en,-1
6,bore monotonous voice,en,-1
7,best teacher enjoy class,en,1
8,tell explain clearly precisely day defense professor ask miss information paper but actually didnt explain,en,-1
9,interact student lecture,en,1
10,not absent miss class teach class passion cry class end thats ideal professor passionate,en,1
11,use time wisely no time waste,en,1
12,learn listen student voice,en,-1
13,theoretical concept apply activity,en,1
14,late,en,-1
15,use bore tire method,en,-1
16,professional inside classroom but friend outside,en,1
17,doesnt tell student no class,en,-1
18,creative give project,en,1
19,best submit requirement pas exam not absent class but not miss seatwork,en,-1
20,write book use class explain lesson detail,en,1
21,good teach but lack personal skill,en,-1
22,teach wholeheartedly,en,1
23,teach solid concept,en,1
24,treat student child,en,1
25,instruction unclear,en,-1
26,able fully deepen understand subject,en,1
27,fair grade system make sure grade fairly,en,1
28,slide long like sleep pill,en,-1
29,know respect understand struggle student,en,1
30,instruction complete,en,1
31,cane,en,0
32,actually teach student fair grade harmonic relationship student joke student make class interactive doesnt focus discus lesson,en,1
33,like waste hour everyday life class not good bore horrible professor,en,-1
34,extremely brilliant humble but doesnt know express intelligence teach,en,-1
35,teach well provide insight aside repeat whats powerpoint read treat student well approachable fair,en,1
36,detach challenge,en,-1
37,focus slide give,en,-1
38,commit job,en,1
39,like energy body run positivity,en,-1
40,neither pas give personal hate,en,-1
41,doesnt care student understand lesson but continue teach poor manner,en,-1
42,engage different activity good,en,1
43,incapable,en,-1
44,wear strip wednesday,en,0
45,blunt he useless human planet study lesson no need,en,-1
46,voice loud clear,en,1
47,doesnt pay attention professor,en,-1
48,inspire learn not high grade,en,1
49,miss finger,en,0
50,example not appropriate get offend,en,-1
51,properly teach lesson nice need,en,1
52,teach different technique,en,1
53,like book know,en,1
54,confident wellspoken,en,1
55,doesnt good lecture read ppt,en,-1
56,doesnt student ample time review quiz,en,-1
57,push student learn love subject,en,1
58,approachable detail orient teach well not bore class engage informative teach,en,1
59,late but cop immediately student able learn new thing,en,1
60,use book reference,en,1
61,hate keep tell know fact lesson alien,en,-1
62,frown start early dismiss late target student insecurity objectively critique student work,en,-1
63,give lot homework,en,-1
64,dont mastery teach not respond genuine question student activity theyre make student wasnt teach yet,en,-1
65,grade system trash unfair student,en,-1
66,no comment,en,0
67,not explain lesson well,en,-1
68,good professor inside outside school professional time approachable,en,1
69,simple lesson complicate yet hard,en,-1
70,let explore subject not spoonfed,en,1
71,certain mastery subject know do,en,1
72,not dismiss time prof get mad,en,-1
73,teach lesson poorly lack knowledge topic,en,-1
74,give bonus additional point,en,1
75,speechless superb teacher,en,1
76,embarrass anybody,en,-1
77,not teacher but father student,en,1
78,not applicable,en,0
79,moody,en,-1
80,use reference book factual document,en,1
81,heshe read powerpoints,en,-1
82,shes read powerpoint presentation cannot answer student question,en,-1
83,teacher absent,en,-1
84,read powerpoints lol,en,-1
85,like play basketball,en,0
86,favor student excel,en,-1
87,teach not sleep teach,en,-1
88,charge phone session,en,0
89,sun,en,0
90,unnecessary criticism student not help student perform good,en,-1
91,fully understand topic hisher best sure student learn,en,1
92,bring class morale,en,-1
93,fell chair lol,en,0
94,he terror favoritism come student,en,-1
95,force student interact lecture,en,-1
96,make student discus topic presentation wont teach,en,-1
97,exam base percent teach material blue material,en,-1
98,organize wellprepared confident lecture,en,1
99,keep talk oh come hear,en,-1
