,Comment,Language,Sentiment
0,CURVES GRADES hehehehe,en,1
1,masters the lesson perfectly.,en,1
2,She is very terror but she teaches very well!,en,1
3,"Unenthusiastic, can barely understand what is being taught",en,-1
4,not applicable,en,0
5,Has favoritism among her students,en,-1
6,Very boring and monotonous voice.,en,-1
7,Best Teacher i ever have and really enjoyed her classes,en,1
8,"she tells you she explained everything clearly and precisely in the day of the defense when some professors ask why there are missing information on your papers, but actually she didn't really explain that much.",en,-1
9,Always interact with students during lectures,en,1
10,"Did not absent or missed a class taught the class with passion. We cried when the class ended. That's my ideal professor, passionate in what he does.",en,1
11,"Uses time wisely, no time wasted.",en,1
12,"Learn to listen to your students, the have their voice too.",en,-1
13,Theoretical concepts can be applied to the activities.,en,1
14,Always late.,en,-1
15,Uses boring and tiring methods,en,-1
16,Very professional inside the classroom but is a friend outside.,en,1
17,Doesn't tell the students that there is no class beforehand,en,-1
18,Creative when giving projects,en,1
19,"Did my best, submitted all requirements, passed all the exams, did not absent in her class. But it was not enough because I missed a seatwork.",en,-1
20,He wrote the book we use in class. He explains the lessons in detail,en,1
21,She is good in teaching but she lacks personal skills.,en,-1
22,he teaches wholeheartedly.,en,1
23,Teaches solid concepts,en,1
24,Treats students as own children,en,1
25,Instructions unclear,en,-1
26,Is able to fully deepen our understanding about the subject,en,1
27,Fair in grading system and makes sure that she grades us all fairly,en,1
28,"The slides are long, it is like sleeping pills.",en,-1
29,Knows how to respect and understand the struggles of being a student,en,1
30,The instructions are always complete,en,1
31,has her cane always by her side,en,0
32,"Actually teaches the students. Fair in grading. Has harmonic relationship with students. Can joke around with students. Makes the class interactive, doesn't focus on just discussing the lesson.",en,1
33,"It's like wasting 3 hours everyday of your life when you are in his class. Not good, boring and horrible professor",en,-1
34,"he is extremely brilliant and humble, but doesn't know how to express his intelligence through teaching.",en,-1
35,"teaches well, provides insight (aside from repeating whats on the powerpoint or reading only), treats the students well, approachable and fair",en,1
36,he is detached and challenging,en,-1
37,Focuses too much on the slides given,en,-1
38,Committed to his job,en,1
39,"She is like an energy body, she ran out of positivity.",en,-1
40,Neither of us will pass given that he has a personal hate on us,en,-1
41,Doesn't care whether the students understand the lesson but continues to teach in a poor manner.,en,-1
42,Engaging us on different activities which is good,en,1
43,Incapable,en,-1
44,Wears stripes every wednesday,en,0
45,"To be blunt, he's the most useless human being in the planet. We could have studied the lessons ourselves. No need for him",en,-1
46,His voice is loud and clear.,en,1
47,He doesn't pay attention as much as other professors,en,-1
48,"He inspires us how to learn, not how to get high grades.",en,1
49,he has a missing finger,en,0
50,"His examples are not appropriate, some gets offended.",en,-1
51,Properly teaching us the lesson and is nice. Doing what she needs to do and what she must do,en,1
52,Teaches different techniques,en,1
53,"he is like the books, he knows everything",en,1
54,Confident and well-spoken,en,1
55,Doesn't have good lectures and mostly reads from the ppt,en,-1
56,Doesn't give her students ample time to review for a quiz,en,-1
57,Pushes the students to learn and love the subject,en,1
58,"Approachable, detail oriented, teaches well and not boring during class, engaging, informative when teaching",en,1
59,"she may be late sometimes, but she copes with it immediately and still, the students can be able to learn new things.",en,1
60,Uses book as reference,en,1
61,"I hate him, he keeps on telling us we already know it, in fact, the lessons are alien to us!",en,-1
62,"He almost always was frowning, he started early and dismissed late, targeted the students' insecurities more than objectively critiqueing student's work",en,-1
63,Gives a lot homework,en,-1
64,When they don't have mastery over what they teach and do not respond to genuine questions from the students because the activity they're making students do wasn't taught yet.,en,-1
65,Grading system is Trash and unfair for other students,en,-1
66,No Further Comment,en,0
67,Does not explain the lesson very well,en,-1
68,Good professor inside and outside of the school. Professional at the same time approachable.,en,1
69,"Please make it simple, the lessons are so complicated, yet you make it harder.",en,-1
70,She lets us explore her subject because she does not spoonfed us.,en,1
71,Has a certain mastery of the subject and knows how and do's,en,1
72,"Does not dismiss us on time, other prof gets mad at us because of this.",en,-1
73,Teaches the lesson poorly and lacks the knowledge about the topic.,en,-1
74,Gives bonuses and additional points,en,1
75,"Speechless, she is really a superb teacher",en,1
76,She embarrass you in front of anybody,en,-1
77,He is not only a teacher but father for all of his students,en,1
78,Not Applicable,en,0
79,She is very moody.,en,-1
80,Uses references such as book and factual documents,en,1
81,He/She just reads the powerpoints,en,-1
82,She's just reading her powerpoint presentations and cannot answer her students' questions.,en,-1
83,the teacher is always absent,en,-1
84,She just reads the powerpoints lol,en,-1
85,Likes to play basketball,en,0
86,Favors students who only excel,en,-1
87,"teaching is not the same as sleeping so, teach!",en,-1
88,Charges her phone every session,en,0
89,anything under the sun,en,0
90,Unnecessary criticisms to other students. Does not help students perform better.,en,-1
91,Fully understands the topic and does his/her best to make sure that the students are learning,en,1
92,Brings down the class morale,en,-1
93,Fell down once from his chair lol,en,0
94,He's a terror. He has favoritism when it comes to students.,en,-1
95,Forces students to interact during lectures,en,-1
96,She makes the student discuss the topics via presentations so she wont have to teach,en,-1
97,his exams are based on 5 percent taught material 95% out of the blue materials,en,-1
98,"he is organized, well-prepared, and confident during the lecture.",en,1
99,"He keeps on talking, oh come on, please hear us too.",en,-1
100,Makes the subject interesting.,en,1
101,No elaboration,en,0
102,Hard to talk to,en,-1
103,Terrible at teaching,en,-1
104,strict in a good way.,en,1
105,Requires materials but doesn't use in lectures,en,-1
106,He is passionate in teaching,en,1
107,Always late and unprepared.,en,-1
108,"Be professional, there are times for joking.",en,-1
109,Good credentials,en,1
110,"his favorite line is, ""competitive tayo, guys"".",tlen,1
111,don't know anything about the subject and is boring when it comes to student engagement,en,-1
112,observes the university rules properly.,en,1
113,Sure pass. Gives many exercises as possible and teaches us case by case,en,1
114,Does not have a mastery in his/her teaching,en,-1
115,Gives students time to answer exercises and provides the answer for us to review.,en,1
116,he gives what the students deserve when it comes to grading,en,1
117,Does not take student's personal opinion,en,-1
118,"Enthusiastic when teaching, speaks and teaches clearly, is very forgiving",en,1
119,Promotes competition and teaches various logical methods,en,1
120,Lacks the knowledge about the topic.,en,-1
121,Can't understand what she says,en,-1
122,Worst teacher in the university and possibly in the world,en,-1
123,has good grooming and follows the university's norm.,en,1
124,Has mastery in what he/she is teaching,en,1
125,Give out handouts which is good and is knowledgeable,en,1
126,Sometimes i feel sleepy and sometimes i feel excited,en,0
127,Tries to improve herself each day,en,1
128,Announces quizzes 30 minutes before the quiz.,en,-1
129,puro freecut..... hehehe saktong freecut lang,tlen,-1
130,Interactive and very approachable,en,1
131,WAla na akong tiwala since his opinion is not supported by any claims or studies.,tlen,-1
132,Really knows how to handle pressure and time by being early as possible and dismisses class late as possible,en,1
133,He is knowledgeable at maraming visual aids at slides,tlen,1
134,Has curly hair,en,0
135,"Engaging the students, attentive with the students' questions, and makes sure that the students understand the lessons at hand.",en,1
136,"Please choose your jokes, some are not funny at all.",en,-1
137,He connects real life happenings to the lesson.,en,1
138,Concerned in his students' mental health,en,1
139,She teaches a religious subject yet has mannerisms like that of a street girl.,en,-1
140,Best professor ever. Teaches different cases on a lesson. Grades fairly to students. Makes an old and boring subject interesting.,en,1
141,Uses new techniques to engage the students,en,1
142,Has a lot of wisdom and experience,en,1
143,Always starts the class with a prayer,en,1
144,Dont know how to spell and read. What kind of teacher is she. Neither of the book nor the powerpoint presented were followed.,en,-1
145,Cares for the mental health of the students,en,1
146,He always sleeping in class,en,-1
147,She instills discipline in her students,en,1
148,The same Boring style as last year and disappointed today,en,-1
149,he accepts friend requests on facebook,en,0
150,He relates his subject into the real world,en,1
151,forcing us to do something that we aren't interested or enjoy,en,-1
152,"Confusing, unprofessional with the way they act, loses papers, leaves things to the last minute",en,-1
153,"Mahilig siya sa phrases na ""should there be"", ""play it by ear"" and sa word na ""cascade"" :))))",tlen,0
154,She always angry,en,-1
155,Wears shades when we have a quiz or a test,en,0
156,"Hard to understand, lots of jargons without explanation to what those are.",en,-1
157,She shares her experience to further explain or simplify our lessons.,en,1
158,Gives low grades,en,-1
159,Professional inside and outside the classroom,en,1
160,She/him is sharing knowledge for there student and good comminication on there student,en,1
161,Teaches lessons that can relate to life,en,1
162,Encourages students to do better and to improve,en,1
163,"He only calls the male students to recite, unfair.",en,-1
164,Responds to emails and questions of students,en,1
165,Don't know how to teach properly and always eating in the class as if we have no class. Little to none effort,en,-1
166,Doesn't understand concepts of their own subject.,en,-1
167,Has mastery on the lesson. She can teach the lesson without guides.,en,1
168,Inspires the students to perform better,en,1
169,Doesn't come to class regularly and doesn't teach us anything,en,-1
170,Does not entertain questions.,en,-1
171,Very considerate with his students.,en,1
172,Explains thoroughly,en,1
173,Sir adjusted the pace of his teaching when most of us couldn't catch up,en,1
174,He keeps the whole class entertained while learning at the same time,en,1
175,Not worth my tuition fee,en,-1
176,"Strict in very -1 way, he can suffocate the students.",en,-1
177,Has knowledge on what the real world is presently using. Practical thinker.,en,1
178,"He can make us laugh, and he also feeds our mind with cool stuffs.",en,1
179,Doesn't properly answer student's questions.,en,-1
180,The professor is chubby,en,0
181,Strict and makes a big fuss about every single detail.,en,-1
182,Great interaction/relationship with students,en,1
183,"not always present, doesn't teach the material well, unclear instructions/lessons",en,-1
184,She's very responsive whenever I have questions. And also resourceful because I gained a lot of information from her. She's very accommodating and really nice.,en,1
185,"he seldom comes to class with his infamous announced ""sickness"", yet is a challenging and respected programming professor.",en,-1
186,why you got to be so rude? Don't you know we are human too.,en,-1
187,"being energetic in the class can affect the students, thumbs up for that! ",en,1
188,Teaches us as if we're highschool students,en,0
189,Using assorted colors of markers in teaching,en,0
190,once amonth pumapasok,tlen,-1
191,good ppts and videos,en,1
192,has passion for teaching.,en,1
193,Over looking their student,en,-1
194,Good listener,en,1
195,She uses perfect timing and pronunciation when teaching,en,1
196,Doesn't give a high grade even if you deserve it,en,-1
197,She never leaves the student left out.,en,1
198,Taught me a lot about the Philippine Taxation System,en,1
199,"Rapport with the students is strong, dressed for himself, always went the extra mile to teach students lessons beyond the classroom, got the class interested enough in cultural studies to make them have actual conversations about culture and societal issues transcending classes",en,1
200,Biased,en,-1
201,Fair in grading students.,en,1
202,manyak,tl,-1
203,Marunong siya makisama sa klase,tl,1
204,nakakainis dahil parang masungit at nagagalit pa pag tinatanong namin about sa mga tinuturo nya na para bang bawal namin kwestyunin.,tlen,-1
205,"Ang galing niyo po mangbara, sana ganun din po pagtuturo.",tl,-1
206,Bobo mag turo at alam mong manyak. Makatingin palang parang may balak ng masama,tl,-1
207,Nakikinig siya sa opinyon namin.,tl,1
208,Madadali ang mga pagsusulit.,tl,1
209,Kumpleto siya magturo,tl,1
210,Sinisigurado niya ng naiintindihan ng lahat ang tinuturo niya.,tl,1
211,May manyak akong prof.,tlen,-1
212,Dumadating siya sa tamang oras.,tl,1
213,nakaupo lang sya madalas pagnagtuturo.,tl,-1
214,Nagagalit tuwing nagtatanong ang estudyante.,tl,-1
215,Iba't iba ang tinuturo sa mga estudyante. Walang kasiguraduhan sa tinuturo,tl,-1
216,Ang bilis bilis niya magturo palagi parang may hinahabol siya.,tl,-1
217,Masyadong mataas tingin niya sa sarili niya,tl,-1
218,Siya ay sobrang sungit.,tl,-1
219,MAtamlay at malungkot ang turo,tl,-1
220,"Mabait, magaling magturo.",tl,1
221,Sobrang tamad magturo,tl,-1
222,Natutulog lang siya sa klase.,tl,-1
223,Parang bata yung trato sa student,tlen,-1
224,Marunong siya makisama sa klase.,tl,1
225,Walang nakakagets ng joke niya,tlen,-1
226,"Akala mo kung sinong napakagaling magturo, eh sya lang rin naman nagagalingan sa sariling niya",tl,-1
227,Don't give exams na di pa natututuro yung mga lessons.,tlen,-1
228,Panget ang mga hinahandang lessons at hindi makabuluhan,tlen,-1
229,Isa lang ang tono nang boses niya kaya nakakaantok siya magturo.,tl,-1
230,Mainuuna pa niya iba niyang trabaho kay hindi siya nakakapasok sa klase namin.,tl,-1
231,Bihira siyang absent.,tlen,1
232,Hindi pwedeng walang bumagsak sa klase niya,tl,-1
233,Wala sa lugar magalit,tl,-1
234,"Matutong makibagay sa mga students, di lang sila ang dapat mag-adjust.",tlen,-1
235,Nawawala niya ang mga papel.,tl,-1
236,"Pag ngumuya ka lang galit na galit na, bawal na bawal kumain",tl,-1
237,Palautos siya masyado.,tl,-1
238,Mabilis magsalita at di nakakahabol mga students niya,tlen,-1
239,Nadapa siya pag pasok,tl,0
240,"Hindi katulad nang iba, nirerelate niya yung tinuturo niya sa major naming.",tlen,1
241,Okay lang sa kanyang hindi kami pumasok sa klase niya.,tl,-1
242,Mukhang estudyante,tl,0
243,Talagang matututo ka pag siya nagturo,tl,1
244,May topak pag magalit,tl,-1
245,Binababaaan niya yung vocabulary niya pagnagtuturo kaya mas mabilis namin siyang naiinitindihan,tlen,1
246,kwela siya,tl,1
247,Tinuring ko ng ama at pangalawang magulang dahil sobrang gaan ng loob ng mga estudyante sa kanya at masaya,tl,1
248,Nagalit sa amin at biglang umiyak nang walang dahilan ano na maam,tl,-1
249,Nautot ako ng malakas sa class niya and natawa lang siya. Cool prof,tlen,1
250,Hindi siya tumatanggap nang pagkakamali niya.,tl,-1
251,Tamad na tamad siya kung magturo.,tl,-1
252,Bumabait pag binigyan ng pagkain,tl,1
253,"Nakakaumay siya magturo, paulit-ulit.",tl,-1
254,Nakikinig siya sa opinyon namin,tl,1
255,Walang pakialam kahit hirap na hirap students,tlen,-1
256,Sobrang ganda niya,tl,1
257,Di maayos manamit,tl,-1
258,Nagtuturo ng hakbang-hakbang sagot sa mga katanungan,tl,1
259,Walang ginagamit na visuals. Mahirap magnotes sa klase niya,tlen,-1
260,Hindi siya nagtatanim nang galit sa amin kahit magulo ang klase namin.,tl,1
261,Hindi niya matanggap na nagkakamali siya,tl,-1
262,maayos at natatanggap ang mga critisismo at nagpapakabuti para sa kagaganda ng pagtuturo at ng buhay nya,tl,1
263,She is always absent and baduy ang mga damit,tlen,-1
264,Parang si steph curry pag nagtuturo swak na swak lagi sa kung anong hanap ko.,tl,1
265,Hindi niya iniisip kung nakakakopya ba kami nang notes basta buburahin na lang niya.,tlen,-1
266,Para kong kumakain ng panis na giniling kapag siya natuturo. Di ako natutuwa,tl,-1
267,Malakas ang boses ni Ma'am.,tlen,0
268,Merong matandang kalbo na kala mo magaling.,tl,-1
269,Laging walang pasok ng klase niya,tl,-1
270,Parang duda siya sa mga tinuturo niya.,tl,-1
271,nagbabagsak siya ng estudyante,tl,-1
272,Alam na alam niya yung tinuturo niya,tl,1
273,nakakatawa siya magsalita,tl,0
274,Maaasahan mo lang siya pag nasa loob nang klase.,tl,-1
275,Malabong magpaliwanag sa pagtuturo,tl,-1
276,Sobrang galing magturo,tl,1
277,Laging nagmamarunong at di tumatanggap ng pagkakamali. Di namin siya gusto makasama at maging guro,tl,-1
278,Wala siyang pake kung naiintindihan ba ng estudyante ang tinuturo niya.,tl,-1
279,"Puro kwento, wala namang kwenta!",tl,-1
280,Tinatama niya ang lahat ng maling nakikita.,tl,1
281,"Walang kinikilingan, walang pinoprotektahan, serbisyong totoo lamang.",tl,1
282,Nakakaaliw siya magturo.,tl,1
283,malakas boses,tl,0
284,Masaya lang kasama at malapit sa mga studyante kaya siguro maraming tumuturing sakanyang kuya ng bayan.,tl,1
285,lagi nakatambay sa dapitan,tl,0
286,walang tinuturo,tl,-1
287,Parang nandoon lang para kumita ng pera,tl,-1
288,Ang galing niya kunin yung atensyon ng buong klase,tl,1
289,Napakalupet sumama sa inuman at di sumuko.,tl,1
290,Palagi nalang mainit ulo,tl,-1
291,mahilig din magpamake-up class,tlen,1
292,Maarte,tl,-1
293,Ayaw magpaihi di ko alam bakit,tl,-1
294,Siya ay magulo magturo.,tl,-1
295,Kinikilala niya ang bawat estudyante niya.,tl,1
296,Di tinuturo yung ginagamit sa trabaho,tl,-1
297,Nagdadahilan siyang may sakit kahit na gagala lang siya.,tl,-1
298,Hindi ka na niya kilala pag nasa labas na kayo nang klase.,tl,-1
299,"Guro sa loob ng classroom, kaibigan sa labas. ",tlen,1
300,mahina boses,tl,-1
301,Hindi niya masyado gamay ang itinuturo niya.,tl,-1
302,Siya ay bobo at di alam ang mga sinusulat sa board. Minsan nga di na kami nakikinig kasi mali mali ang mga tinuturo,tlen,-1
303,She is always present and maganda manamit pumapasok,tlen,1
304,Masungit pag inistorbo.,tl,-1
305,Stricto siya pero mabait kung mabait,tl,1
306,Hindi siya nagtuturo.,tl,-1
307,Madaling maintindihan ang kanyang mga lessons.,tlen,1
308,Mabilis magturo. Mahirap magbigay ng quiz.,tlen,-1
309,Kaya niya controlin yung klase kahit sobrang gulo na naming.,tl,1
310,Hindi ko naiintindihan kung ano sinasabi niya,tl,-1
311,Magaling makisama sa estudyante,tl,1
312,Siya ay nakakaantok magturo.,tl,-1
313,Mabilis magturo.,tl,-1
314,nagpabili ng libro tapos hindi ginamit sayang pera,tl,-1
315,Hindi siya tumutupad sa usapan.,tl,-1
316,Hindi nanakakatuwa yung mga biro niya.,tl,-1
317,Hindi siya nagyayabang kahit ang dami na niyang nakamit sa buhay.,tl,1
318,Hindi siya garalgal magsalita.,tl,1
319,Lagi siyang late.,tlen,-1
320,Ang hina ng boses.,tl,-1
321,Siya ay madaling lapitan.,tl,1
322,Palagi niya kami minomotivate tuwing nahihirapan na kami sa mga subject naming,tlen,1
