Comment,Language,Sentiment
CURVES GRADES hehehehe,en,1
masters the lesson perfectly.,en,1
She is very terror but she teaches very well!,en,1
"Unenthusiastic, can barely understand what is being taught",en,-1
not applicable,en,0
Has favoritism among her students,en,-1
Very boring and monotonous voice.,en,-1
Best Teacher i ever have and really enjoyed her classes,en,1
"she tells you she explained everything clearly and precisely in the day of the defense when some professors ask why there are missing information on your papers, but actually she didn't really explain that much.",en,-1
Always interact with students during lectures,en,1
"Did not absent or missed a class taught the class with passion. We cried when the class ended. That's my ideal professor, passionate in what he does.",en,1
"Uses time wisely, no time wasted.",en,1
"Learn to listen to your students, the have their voice too.",en,-1
Theoretical concepts can be applied to the activities.,en,1
Always late.,en,-1
Uses boring and tiring methods,en,-1
Very professional inside the classroom but is a friend outside.,en,1
Doesn't tell the students that there is no class beforehand,en,-1
Creative when giving projects,en,1
"Did my best, submitted all requirements, passed all the exams, did not absent in her class. But it was not enough because I missed a seatwork.",en,-1
He wrote the book we use in class. He explains the lessons in detail,en,1
She is good in teaching but she lacks personal skills.,en,-1
he teaches wholeheartedly.,en,1
Teaches solid concepts,en,1
Treats students as own children,en,1
Instructions unclear,en,-1
Is able to fully deepen our understanding about the subject,en,1
Fair in grading system and makes sure that she grades us all fairly,en,1
"The slides are long, it is like sleeping pills.",en,-1
Knows how to respect and understand the struggles of being a student,en,1
The instructions are always complete,en,1
has her cane always by her side,en,0
"Actually teaches the students. Fair in grading. Has harmonic relationship with students. Can joke around with students. Makes the class interactive, doesn't focus on just discussing the lesson.",en,1
"It's like wasting 3 hours everyday of your life when you are in his class. Not good, boring and horrible professor",en,-1
"he is extremely brilliant and humble, but doesn't know how to express his intelligence through teaching.",en,-1
"teaches well, provides insight (aside from repeating whats on the powerpoint or reading only), treats the students well, approachable and fair",en,1
he is detached and challenging,en,-1
Focuses too much on the slides given,en,-1
Committed to his job,en,1
"She is like an energy body, she ran out of positivity.",en,-1
Neither of us will pass given that he has a personal hate on us,en,-1
Doesn't care whether the students understand the lesson but continues to teach in a poor manner.,en,-1
Engaging us on different activities which is good,en,1
Incapable,en,-1
Wears stripes every wednesday,en,0
"To be blunt, he's the most useless human being in the planet. We could have studied the lessons ourselves. No need for him",en,-1
His voice is loud and clear.,en,1
He doesn't pay attention as much as other professors,en,-1
"He inspires us how to learn, not how to get high grades.",en,1
he has a missing finger,en,0
"His examples are not appropriate, some gets offended.",en,-1
Properly teaching us the lesson and is nice. Doing what she needs to do and what she must do,en,1
Teaches different techniques,en,1
"he is like the books, he knows everything",en,1
Confident and well-spoken,en,1
Doesn't have good lectures and mostly reads from the ppt,en,-1
Doesn't give her students ample time to review for a quiz,en,-1
Pushes the students to learn and love the subject,en,1
"Approachable, detail oriented, teaches well and not boring during class, engaging, informative when teaching",en,1
"she may be late sometimes, but she copes with it immediately and still, the students can be able to learn new things.",en,1
Uses book as reference,en,1
"I hate him, he keeps on telling us we already know it, in fact, the lessons are alien to us!",en,-1
"He almost always was frowning, he started early and dismissed late, targeted the students' insecurities more than objectively critiqueing student's work",en,-1
Gives a lot homework,en,-1
When they don't have mastery over what they teach and do not respond to genuine questions from the students because the activity they're making students do wasn't taught yet.,en,-1
Grading system is Trash and unfair for other students,en,-1
No Further Comment,en,0
Does not explain the lesson very well,en,-1
Good professor inside and outside of the school. Professional at the same time approachable.,en,1
"Please make it simple, the lessons are so complicated, yet you make it harder.",en,-1
She lets us explore her subject because she does not spoonfed us.,en,1
Has a certain mastery of the subject and knows how and do's,en,1
"Does not dismiss us on time, other prof gets mad at us because of this.",en,-1
Teaches the lesson poorly and lacks the knowledge about the topic.,en,-1
Gives bonuses and additional points,en,1
"Speechless, she is really a superb teacher",en,1
She embarrass you in front of anybody,en,-1
He is not only a teacher but father for all of his students,en,1
Not Applicable,en,0
She is very moody.,en,-1
Uses references such as book and factual documents,en,1
